feature,mean_abs_shap,mean_shap,positive_impact%,rank,direction
OCCUPATION_TYPE,0.030609773749031444,0.0009966199800089711,53.0,44,↑ Increases Risk
EXT_SOURCE_1,0.03052913581808891,0.0012102849437595623,62.45,45,↑ Increases Risk
BUREAU_AMT_CREDIT_DEBT_MEAN,0.030045276783954925,0.00010587595018709041,49.85,46,↑ Increases Risk
CC_OVER_LIMIT_RATE,0.030026992931190294,-0.0010262518220137044,8.649999999999999,47,↓ Decreases Risk
PREV_AMT_CREDIT_MAX,0.029001670911304695,-0.0013470093189186878,45.6,48,↓ Decreases Risk
BUREAU_AMT_CREDIT_SUM_MAX,0.02879855785583332,-0.0007915757162190704,79.25,49,↓ Decreases Risk
BUREAU_ACTIVE_COUNT,0.02873522264555604,0.001496310048286973,16.45,50,↑ Increases Risk
FLAG_WORK_PHONE,0.028415848086623285,0.0003246148824791357,22.0,51,↑ Increases Risk
CC_UTILISATION_MAX,0.028345801616998494,0.00201639139080366,88.14999999999999,52,↑ Increases Risk
INST_DAYS_LATE_SUM,0.02774562736568095,0.0018803512904785442,57.99999999999999,53,↑ Increases Risk
EXT_SOURCE_2,0.026876030667708002,0.0011523706787802477,67.0,54,↑ Increases Risk
YEARS_EMPLOYED,0.026436633805014896,0.002047517767500587,62.45,55,↑ Increases Risk
PREV_DAYS_DECISION_MEAN,0.02527810539815103,-0.0010871253340502354,48.25,56,↓ Decreases Risk
PREV_DAYS_DECISION_MIN,0.025126995630593812,0.0019431299034844592,69.69999999999999,57,↑ Increases Risk
DAYS_ID_PUBLISH,0.024816455607616982,0.0022060663781719066,67.30000000000001,58,↑ Increases Risk
AMT_CREDIT,0.024108042707525524,-0.005742589889987206,44.7,59,↓ Decreases Risk
BUREAU_AMT_OVERDUE_MAX,0.0239248822618558,0.0016313524099455616,20.65,60,↑ Increases Risk
REGION_RATING_CLIENT_W_CITY,0.02317646373901314,0.0005796387737937503,54.400000000000006,61,↑ Increases Risk
SOCIAL_CIRCLE_DEFAULT_RATIO,0.02317496920598134,-0.0009379073831636446,10.45,62,↓ Decreases Risk
POS_MONTHS_BALANCE_MEAN,0.02269245692397917,0.0027134211303089036,36.3,63,↑ Increases Risk
BB_MONTHS_COUNT_MEAN,0.021945912999460724,-0.00024542146349941355,73.0,64,↓ Decreases Risk
AGE_YEARS,0.021843893799741193,0.0005174513209136393,60.050000000000004,65,↑ Increases Risk
INST_DAYS_LATE_STD,0.020953295097998707,-0.0009821858109301115,39.050000000000004,66,↓ Decreases Risk
BUREAU_DAYS_CREDIT_MIN,0.020736737400613495,-0.0006958134244996816,61.8,67,↓ Decreases Risk
INST_PAYMENT_RATIO_MEAN,0.020033267576905905,-6.825666754776687e-05,69.8,68,↓ Decreases Risk
DAYS_LAST_PHONE_CHANGE,0.019678192300330515,0.0012703119736272757,43.35,69,↑ Increases Risk
CC_MIN_PAYMENT_RATIO_MEAN,0.01943942791048515,0.002828551674086209,92.75,70,↑ Increases Risk
BUREAU_AMT_CREDIT_SUM_MEAN,0.019023784122787265,-0.0020508632763367608,49.3,71,↓ Decreases Risk
POS_COMPLETION_RATE,0.018828139338376768,0.002248551270883209,70.95,72,↑ Increases Risk
EXT_SOURCE_PROD,0.01838508911591716,-0.004277588554054296,28.849999999999998,73,↓ Decreases Risk
CREDIT_INCOME_RATIO,0.01801021712515902,0.000128215876371066,61.7,74,↑ Increases Risk
INST_UNDERPAID_RATE,0.017066714812150285,-0.0008234438879286675,21.9,75,↓ Decreases Risk
BUREAU_AMT_CREDIT_LIMIT_MEAN,0.016744520362030498,-0.0011908666148366938,90.2,76,↓ Decreases Risk
POS_DPD_DEF_SUM,0.01645856818808321,0.002031438060776616,13.700000000000001,77,↑ Increases Risk
PREV_APPROVAL_RATE,0.016268766954759165,-0.001442526062106806,27.650000000000002,78,↓ Decreases Risk
HOUR_APPR_PROCESS_START,0.015770515628200536,0.00019641427659918212,59.95,79,↑ Increases Risk
INST_PAYMENT_RATIO_STD,0.015761905888855027,1.7731811905698187e-05,74.45,80,↑ Increases Risk
BUREAU_AMT_OVERDUE_MEAN,0.01560246314215971,0.0007910733848725484,19.5,81,↑ Increases Risk
EXT_SOURCE_COUNT,0.015356049177303002,0.0006808957410407106,61.95,82,↑ Increases Risk
BUREAU_ACTIVE_RATIO,0.015338038810549258,0.0005766954909643832,58.599999999999994,83,↑ Increases Risk
YEARS_PHONE_CHANGE,0.015002943480016219,0.0015680304676777067,54.55,84,↑ Increases Risk
AGE_GROUP,0.014653549671668646,-7.019013718576893e-06,52.949999999999996,85,↓ Decreases Risk
REG_CITY_NOT_LIVE_CITY,0.01464082329797988,-0.0003896842612068104,6.950000000000001,86,↓ Decreases Risk
WEEKDAY_APPR_PROCESS_START,0.014566872728423481,0.00047998293933289413,45.1,87,↑ Increases Risk
YEARS_REGISTRATION,0.013563003807849321,-0.0003588196746718847,65.45,88,↓ Decreases Risk
BUREAU_AMT_CREDIT_DEBT_SUM,0.013309709620286343,-0.0009422334770363683,29.099999999999998,89,↓ Decreases Risk
PREV_RATE_DOWN_MEAN,0.013111521924502316,0.0008427737496072837,70.6,90,↑ Increases Risk
EXT_SOURCE_RANGE,0.012766932993713925,-0.001244582790261736,33.5,91,↓ Decreases Risk
CC_UTILISATION_MEAN,0.012757405596634717,0.001368156762670718,82.85,92,↑ Increases Risk
BUREAU_CLOSED_COUNT,0.011760265888849033,-0.00036233497765227057,66.9,93,↓ Decreases Risk
INST_AMT_SHORTFALL_MEAN,0.011423802194640514,-0.000979541625098907,25.55,94,↓ Decreases Risk
EXT_SOURCE_STD,0.011122927975684089,0.003244912682447612,53.55,95,↑ Increases Risk
DAYS_REGISTRATION,0.010840471770939513,-0.0005679149890966867,55.2,96,↓ Decreases Risk
BUREAU_AMT_CREDIT_SUM_SUM,0.010771442589762082,-0.0004704803096424034,42.449999999999996,97,↓ Decreases Risk
INCOME_PER_PERSON,0.009523184695386367,9.213534990912858e-05,45.35,98,↑ Increases Risk
AMT_INCOME_TOTAL,0.009492327352484044,0.0003039668634653103,53.5,99,↑ Increases Risk
OBS_60_CNT_SOCIAL_CIRCLE,0.009414515264354165,-9.708910399549062e-05,53.15,100,↓ Decreases Risk
INST_DAYS_EARLY_MEAN,0.009411485808627202,-0.0001602056737794823,41.15,101,↓ Decreases Risk
FLAG_PHONE,0.009130308906386192,-0.00031449539670494404,70.8,102,↓ Decreases Risk
CC_AMT_DRAWINGS_MEAN,0.008674768709539746,0.00034631366166222154,70.8,103,↑ Increases Risk
EXT_SOURCE_MEAN_x_CREDIT_RATIO,0.008240847295411935,-0.001118852989157504,40.150000000000006,104,↓ Decreases Risk
INST_DAYS_LATE_MEAN,0.008063083097570164,-0.0017406260160097917,38.1,105,↓ Decreases Risk
INST_AMT_SHORTFALL_SUM,0.008027706987774733,-0.0005852956885015747,24.45,106,↓ Decreases Risk
INST_PAYMENT_RATIO_MIN,0.007848131922834648,-0.000798023287129346,66.75,107,↓ Decreases Risk
WALLSMATERIAL_MODE,0.00755112056030203,5.555301476668109e-05,26.5,108,↑ Increases Risk
APARTMENTS_MODE,0.0073945571647992935,-0.0003677434345375198,69.45,109,↓ Decreases Risk
PREV_APP_COUNT,0.007060607168273135,-0.00078098905981558,36.0,110,↓ Decreases Risk
BUREAU_LOAN_COUNT,0.006650385732062025,-0.0005049171425510374,54.449999999999996,111,↓ Decreases Risk
CC_DPD_FLAG_SUM,0.006497572961685834,-9.159610558198696e-05,96.0,112,↓ Decreases Risk
PREV_AMT_CREDIT_MEAN,0.006440276983719061,-0.0009192575541316637,46.7,113,↓ Decreases Risk
DEF_60_CNT_SOCIAL_CIRCLE,0.006021318074450304,7.866171998055579e-05,8.1,114,↑ Increases Risk
OBS_30_CNT_SOCIAL_CIRCLE,0.0057116901619160545,-0.0002033246023429245,53.900000000000006,115,↓ Decreases Risk
CC_MONTHS_COUNT,0.005518716653455711,0.0012310210076589315,74.9,116,↑ Increases Risk
ENTRANCES_MEDI,0.0052527938123378,8.199877238281325e-05,24.3,117,↑ Increases Risk
PREV_APPROVED_COUNT,0.005013884555403275,-0.00013914690238444065,49.55,118,↓ Decreases Risk
FLOORSMAX_MEDI,0.004876522660444843,1.74206749036138e-05,79.25,119,↑ Increases Risk
